Year,Country Name,Medal,Population,Life Expectancy,Health Expenditure,GDP Per Capita,GDP PPP,Connectivity,CPI,HDI,Communism,Soviet,Home Advantage
2004,Czech Republic,2.17,10255063,74.97,13.69,21137.18,2.17E+11,0.12,43,0.82,0,0,0
2004,Denmark,2,5339616,76.59,13.59,42337.71,2.26E+11,0.05,98,0.86,0,0,0
2004,Ethiopia,2.33,66537331,51.93,9.36,618.24,41136187142,0.06,32,0.28,0,0,0
2004,France,10.67,60912498,79.06,15.18,34896.39,2.13E+12,0.06,67,0.85,0,0,0
2004,Germany,15.33,82211508,77.93,17.87,36764.56,3.02E+12,0.11,76,0.86,0,1,0
2004,Greece,5.67,10805808,77.89,9.83,24839.08,2.68E+11,0.02,49,0.8,0,0,1
2004,Hungary,6.5,10210971,71.25,10.63,17855.04,1.82E+11,0.09,52,0.77,0,1,0
2004,Iran,2,66131854,70.14,10.61,11853.95,7.84E+11,0,0,0.67,0,0,0
2004,Italy,10.5,56942108,79.78,12.54,36535.82,2.08E+12,0.06,46,0.83,0,0,0
2004,Jamaica,1.67,2656864,72.31,7.37,7931.74,21073549532,0.06,0,0.68,0,0,0
2004,Japan,13,126843000,81.08,15.38,33871.84,4.30E+12,0.06,64,0.86,0,0,0
2004,Kazakhstan,2.33,14883626,65.52,9.15,9951.56,1.48E+11,0.01,30,0.69,0,0,0
2004,Kenya,2.17,31450483,50.79,10.55,2132.09,67055109891,0,21,0.45,0,0,0
2004,Netherlands,6.5,15925513,77.99,11.36,41721.69,6.64E+11,0.08,89,0.88,0,0,0
2004,New Zealand,2.17,3857700,78.64,15.71,28264.57,1.09E+11,0.06,94,0.87,0,0,0
2004,North Korea,1.5,22929075,64.98,12.84,27039.27,1.51E+12,0.06,0,0.79,1,0,0
2004,Norway,2.67,4490967,78.63,16.23,58066.58,2.61E+11,0.06,91,0.92,0,0,0
2004,Poland,3,38258629,73.75,9.18,14732.48,5.64E+11,0.07,41,0.78,0,1,0
2004,Portugal,0.83,10289898,76.31,14.52,25999.49,2.68E+11,0.03,64,0.78,0,0,0
2004,Romania,6.67,22442971,71.16,9.15,10523.39,2.36E+11,0.05,29,0.71,0,1,0
2004,Russia,28.83,146596557,65.48,12.67,14050.85,2.06E+12,0.01,21,0.72,0,1,0
2004,South Africa,1.83,44896856,55.84,13.63,9715.62,4.36E+11,0.02,50,0.63,0,0,0
2004,South Korea,10,47008111,75.84,8.37,20756.78,9.76E+11,0.03,40,0.82,0,0,0
2004,Spain,6,40567864,78.97,13.18,29967.17,1.22E+12,0.03,70,0.83,0,0,0
2004,Sweden,2.67,8872109,79.64,12.6,36854.87,3.27E+11,0.02,94,0.88,0,0,0
2004,Switzerland,1.33,7184250,79.68,15.43,50314.07,3.61E+11,0.08,86,0.89,0,0,0
2004,Turkey,3.17,63240121,70,9.76,13862.05,8.77E+11,0.01,38,0.65,0,0,0
2004,Ukraine,7.67,49175848,67.86,10.24,4797.38,2.36E+11,0.04,15,0.67,0,0,0
2004,United Arab Emirates,0.5,3154925,74.45,7.8,103224.43,3.26E+11,0.06,0,0.8,0,0,0
2004,United Kingdom,9.5,58892514,77.74,15.17,32961.53,1.94E+12,0.07,87,0.87,0,0,0
2004,United States,35.33,282162411,76.64,16.79,45986.05,1.30E+13,0.02,78,0.88,0,0,0
2008,Australia,14.83,20127400,80.49,16.95,38148.92,7.68E+11,0.06,88,0.91,0,0,0
2008,Azerbaijan,1.5,8306500,68.47,5.92,6435.45,53456049887,0.03,19,0.68,0,0,0
2008,Belarus,3.83,9730146,68.96,10.78,10180,99052913943,0.03,33,0.71,0,0,0
2008,Brazil,4.5,184738458,71.53,5.15,12058.32,2.23E+12,0.06,39,0.69,0,0,0
2008,Bulgaria,1.33,7716860,72.56,11.36,11736.48,90568801758,0.04,41,0.75,0,1,0
2008,Canada,5.83,31995000,80.14,17.24,39604.35,1.27E+12,0.06,85,0.89,0,0,0
2008,China,35.83,1296075000,73.42,10,5164.64,6.69E+12,0.01,34,0.63,1,0,1
2008,Croatia,1.17,4439000,75.52,11.92,18776.62,83349418764,0.05,35,0.78,0,0,0
2008,Cuba,6.83,11266941,77.64,10.32,27039.27,1.51E+12,0.06,37,0.72,1,0,0
2008,Czech Republic,2.67,10197101,75.72,14.22,24210.11,2.47E+11,0.12,42,0.84,0,0,0
2008,Denmark,2.17,5404523,77.49,14.94,43670.45,2.36E+11,0.05,95,0.9,0,0,0
2008,Ethiopia,2.67,74624405,55.19,10.11,673.43,50254014900,0.06,23,0.33,0,0,0
2008,France,12,62704897,80.16,15.62,36216.17,2.27E+12,0.05,71,0.86,0,0,0
2008,Germany,13.83,82516260,78.68,17.1,37418.09,3.09E+12,0.1,82,0.88,0,1,0
2008,Greece,0.83,10955141,79.04,10.31,29469.53,3.23E+11,0.02,43,0.84,0,0,0
2008,Hungary,3.5,10107146,72.65,11.66,21327.62,2.16E+11,0.09,48,0.8,0,1,0
2008,Iran,0.67,69617100,71.59,11.07,14125.02,9.83E+11,0,29,0.69,0,0,0
2008,Italy,8.67,57685327,80.78,13.7,37434.1,2.16E+12,0.05,48,0.85,0,0,0
2008,Jamaica,3.83,2728777,73.16,5.17,8385.12,22881114502,0.06,33,0.71,0,0,0
2008,Japan,8.33,127761000,82.03,17.9,35078.28,4.48E+12,0.06,69,0.87,0,0,0
2008,Kazakhstan,2.17,15012985,65.89,10.18,14728.62,2.21E+11,0.01,22,0.74,0,0,0
2008,Kenya,5,35074931,52.55,7.91,2158.19,75698376458,0,21,0.47,0,0,0
2008,Netherlands,5.83,16281779,79.1,12.94,42686.89,6.95E+11,0.08,87,0.89,0,0,0
2008,New Zealand,2.83,4087500,79.55,17.4,31392.13,1.28E+11,0.06,96,0.89,0,0,0
2008,North Korea,2,23729498,67.86,12.84,27039.27,1.51E+12,0.06,0,0.79,1,0,0
2008,Norway,3.33,4591910,79.84,17.54,61698.46,2.83E+11,0.06,89,0.93,0,0,0
2008,Poland,4,38182222,74.85,9.7,16605.81,6.34E+11,0.06,35,0.8,0,1,0
2008,Portugal,0.83,10483861,77.67,14.96,26439.93,2.77E+11,0.03,63,0.79,0,0,0
2008,Romania,3,21451748,71.59,12.14,13982.04,3.00E+11,0.05,29,0.75,0,1,0
2008,Russia,19.83,144067054,65.47,11.28,18098.37,2.61E+12,0.01,28,0.75,0,1,0
2008,South Africa,0.33,47001700.99,51.87,12.79,10639.05,5.00E+11,0.02,46,0.61,0,0,0
2008,South Korea,11.5,48082519,77.85,8.79,24605.53,1.18E+12,0.03,45,0.85,0,0,0
2008,Spain,6.5,42921895,79.87,14.91,32261.44,1.38E+12,0.03,71,0.84,0,0,0
2008,Sweden,1.5,8993531,80.5,13.65,40257.92,3.62E+11,0.02,92,0.89,0,0,0
2008,Switzerland,2,7389625,81.09,17.83,51132.69,3.78E+11,0.08,91,0.9,0,0,0
2008,Turkey,2,67007855,72.03,10.75,15161.62,1.02E+12,0.01,32,0.68,0,0,0
2008,Ukraine,6.83,47451600,68.19,13.19,7004.33,3.32E+11,0.04,22,0.71,0,0,0
2008,United Arab Emirates,0,4087931,75.46,8.22,98639.85,4.03E+11,0.06,61,0.82,0,0,0
2008,United Kingdom,16.33,59987905,78.75,15.2,36108.83,2.17E+12,0.07,86,0.89,0,0,0
