Time,Country Name,medal,Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],Internet users (per 100),Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],info,Population_total,Labor_female,Life_exp,Health_exp,GDP_per_cap,GDP_PPP,"GNI per capita, PPP (constant 2011 international $) [NY.GNP.PCAP.PP.KD]","GNI, PPP (constant 2011 international $) [NY.GNP.MKTP.PP.KD]",rail_lines,Land area (sq. km) [AG.LND.TOTL.K2],connectivity,cpi,sexratio,hdi,communism,soviet,homeadvantage
2008,Japan,8.33,47.02,14.58,72.16,44.86,127761000,48.34,82.03,17.9,35078.28,4.48E+12,35766.82,4.57E+12,20060,364500,0.06,69,0.95,0.87,0,0,0
2008,Kazakhstan,2.17,17.11,35.5,16.42,22.94,15012985,64.01,65.89,10.18,14728.62,2.21E+11,14258.25,2.14E+11,13770,2699700,0.01,22,0.92,0.74,0,0,0
2008,Kenya,5,0.86,0.16,7.31,2.82,35074931,60.38,52.55,7.91,2158.19,75698376458,2140.43,75075292081,2634,569140,0,21,1,0.47,0,0,0
2008,Netherlands,5.83,48.46,7.41,91.24,49.46,16281779,56.19,79.1,12.94,42686.89,6.95E+11,43447.88,7.07E+11,2811,33760,0.08,87,0.98,0.89,0,0,0
2008,New Zealand,2.83,44.14,11.66,74.21,43.64,4087500,59.19,79.55,17.4,31392.13,1.28E+11,29666.92,1.21E+11,20802.73,263310,0.06,96,0.96,0.89,0,0,0
2008,North Korea,2,4.23,0.08,0,1.42,23729498,74.65,67.86,12.84,27039.27,1.51E+12,27296.71,1.27E+12,20802.73,120410,0.06,0,0.95,0.79,1,0,0
2008,Norway,3.33,47.52,42.25,98.61,63.15,4591910,60.45,79.84,17.54,61698.46,2.83E+11,61784.41,2.84E+11,20802.73,365245,0.06,89,0.98,0.93,0,0,0
2008,Poland,4,32.84,14.1,60.42,36.03,38182222,47.57,74.85,9.7,16605.81,6.34E+11,16078.49,6.14E+11,19576,306330,0.06,35,0.94,0.8,0,1,0
2008,Portugal,0.83,40.45,4.63,100.89,49.18,10483861,54.54,77.67,14.96,26439.93,2.77E+11,26041.67,2.73E+11,2849,91500,0.03,63,0.94,0.79,0,0,0
2008,Romania,3,19.8,18.13,46.1,28.19,21451748,49.12,71.59,12.14,13982.04,3.00E+11,13441.91,2.88E+11,10844,230000,0.05,29,0.95,0.75,0,1,0
2008,Russia,19.83,26.67,8.4,51.08,28.94,144067054,55.63,65.47,11.28,18098.37,2.61E+12,17730.81,2.55E+12,85286,16381230,0.01,28,0.87,0.75,0,1,0
2008,South Africa,0.33,10.31,0.35,43.82,18.42,47001700.99,45.06,51.87,12.79,10639.05,5.00E+11,10455.22,4.91E+11,20247,1213090,0.02,46,0.97,0.61,0,0,0
2008,South Korea,11.5,50.36,19.57,78.17,49.65,48082519,49.4,77.85,8.79,24605.53,1.18E+12,24556.46,1.18E+12,3129,96820,0.03,45,1,0.85,0,0,0
2008,Spain,6.5,41.99,20.7,90.43,51.43,42921895,44.65,79.87,14.91,32261.44,1.38E+12,31960.75,1.37E+12,14395,499180,0.03,71,0.97,0.84,0,0,0
2008,Sweden,1.5,63.33,77.69,97.81,79.79,8993531,58.58,80.5,13.65,40257.92,3.62E+11,40543.66,3.65E+11,9895,410340,0.02,92,0.98,0.89,0,0,0
2008,Switzerland,2,71.53,11.92,85.43,56.59,7389625,59.24,81.09,17.83,51132.69,3.78E+11,54401.73,4.02E+11,3140,39520,0.08,91,0.96,0.9,0,0,0
2008,Turkey,2,28.61,8.87,51.92,30.02,67007855,23.44,72.03,10.75,15161.62,1.02E+12,14946.01,1.00E+12,8697,769630,0.01,32,0.97,0.68,0,0,0
2008,Ukraine,6.83,25.59,53.2,28.95,35.84,47451600,52.14,68.19,13.19,7004.33,3.32E+11,6930.5,3.29E+11,22011,579340,0.04,22,0.87,0.71,0,0,0
2008,United Arab Emirates,0,32.46,72.39,100.67,68.83,4087931,36.19,75.46,8.22,98639.85,4.03E+11,99092.98,4.05E+11,20802.73,83600,0.06,61,2.34,0.82,0,0,0
2008,United Kingdom,16.33,57.64,10.63,99.51,56.36,59987905,54.74,78.75,15.2,36108.83,2.17E+12,36766.38,2.21E+12,16116,241930,0.07,86,0.98,0.89,0,0,0
2008,United States,37,60.13,11.61,62.55,44.94,292805298,58.18,77.49,18.45,48597.34,1.42E+13,49074.1,1.44E+13,20802.73,9161920,0.06,75,0.93,0.9,0,0,0
2012,Australia,10.83,43.29,26.83,102.19,57.89,21249200,58.65,81.4,17.21,41316.6,8.78E+11,39707.77,8.44E+11,9661,7682300,0,87,1,0.93,0,0,0
2012,Azerbaijan,2.67,14.76,78,73.76,55.69,8763400,60.87,70.06,3.07,14364.99,1.26E+11,12252.71,1.07E+11,2099,82627,0.03,19,0.98,0.73,0,0,0
2012,Belarus,3.5,38.91,0,85.06,41.76,9527985,54.28,70.46,7.87,14972.27,1.43E+11,14822.51,1.41E+11,5491,202900,0.03,20,0.87,0.77,0,0,0
2012,Brazil,4.67,21.5,71.67,78.55,57.46,192979029,58.67,72.7,5.99,13806.01,2.66E+12,13148.09,2.54E+12,29817,8358140,0,35,0.97,0.71,0,0,0
2012,Bulgaria,0.5,29.18,87.42,138.98,85.73,7492561,48.72,72.96,10.48,15741.42,1.18E+11,15036.84,1.13E+11,4159,108610,0.04,36,0.95,0.77,0,1,0
2012,Canada,4.17,54.69,33.83,66.2,51.72,33245773,62.11,80.7,18.01,41611.25,1.38E+12,40996.73,1.36E+12,57216,9093510,0.01,87,0.98,0.9,0,0,0
2012,China,31.83,25.35,59.6,47.76,44.27,1324655000,64.92,74.58,10.13,7947.79,1.05E+13,27296.71,1.27E+12,60809,9388210.8,0.01,36,1.06,0.68,1,0,0
2012,Croatia,2.17,43.07,23.6,104.46,57.52,4434508,45.88,75.91,15.26,22014.58,97623822550,21418.21,94979240779,2722,55960,0.05,44,0.93,0.8,0,0,0
2012,Cuba,4.5,9.63,44.24,2.94,18.78,11309754,41.68,78.65,13.18,27039.27,1.51E+12,27296.71,1.27E+12,5076,106440,0.05,43,1.01,0.78,1,0,0
2012,Czech Republic,3.5,23.8,12.94,132.35,57.12,10384603,49.39,76.98,13.68,29313.65,3.04E+11,27387.49,2.84E+11,9487,77250,0.12,52,0.96,0.86,0,0,0
2012,Denmark,2.83,54.13,72.03,119.3,82.2,5493621,61.04,78.45,16.73,45865.8,2.52E+11,46379.72,2.55E+11,2133,42430,0.05,93,0.98,0.91,0,0,0
2012,Ethiopia,2.33,1.09,25.6,2.37,9.61,83184892,77.85,59.45,11.85,924.52,76905993365,27296.71,1.27E+12,20802.73,1000000,0.06,26,1,0.39,0,0,0
2012,France,11.17,56.11,38.2,92.68,62.63,64374990,50.52,81.21,15.42,37634.93,2.42E+12,38441.82,2.47E+12,29901,547557,0.05,69,0.95,0.88,0,0,0
2012,Germany,14.17,60.33,85.02,126.56,90.99,82110097,52.05,79.74,18.13,40989.44,3.37E+12,41392.74,3.40E+12,33862,348630,0.1,79,0.96,0.91,0,1,0
2012,Greece,0.33,47.4,90,124.51,87.68,11077841,42.56,79.94,11.51,31881.71,3.53E+11,30927.09,3.43E+11,2552,128900,0.02,47,0.97,0.86,0,0,0
2012,Hungary,6.17,30.8,11,121.68,55.16,10038188,42.54,73.7,10.16,23591.9,2.37E+11,22151.47,2.22E+11,7942,89610,0.09,51,0.9,0.82,0,1,0
2012,Iran,4.17,34.13,18.2,59.18,37.39,72845542,15.49,73.09,10.07,16374.97,1.19E+12,16435.23,1.20E+12,7335,1628760,0,23,1.03,0.73,0,0,0
2012,Italy,8.83,36.81,17.08,150.89,69.08,58826731,38.41,81.49,14.3,37954.16,2.23E+12,37608.27,2.21E+12,16862,294140,0.06,48,0.95,0.87,0,0,0
2012,Jamaica,4,11.64,23,100.16,45.49,2790122,58.04,74.3,6.45,8565.66,23899232640,8212.65,22914289501,20802.73,10830,0.06,31,0.98,0.72,0,0,0
2012,Japan,11,38.04,34.37,86.71,53.37,128063000,48.5,82.59,18.59,36278.46,4.65E+12,37233.66,4.77E+12,20048,364500,0.06,73,0.95,0.88,0,0,0
